X,Y,Value
-16,39,17.02
-15,39,17.02
-14,39,3.87526
-14,40,17.02
-13,39,3.88052
-13,40,17.02
-12,39,17.02
-12,40,17.02
-11,39,17.02
-11,40,17.02
-10,39,3.8778900000000003
-9,39,3.87526
-8,39,3.87263
-8,40,17.02
-7,39,17.02
-7,40,3.8778900000000003
-7,41,17.02
-6,39,4.05673
-6,40,17.02
-6,41,3.88052
-5,39,3.8778900000000003
-5,40,3.88315
-5,41,3.8778900000000003
-5,42,17.02
-4,39,3.87526
-4,40,3.8778900000000003
-4,41,3.88052
-4,42,17.02
-3,39,3.88315
-3,40,3.88052
-3,41,3.8778900000000003
-3,42,17.02
-2,39,3.87263
-2,40,3.87263
-2,41,3.88315
-2,42,17.02
-1,39,3.8778900000000003
-1,40,3.87263
-1,41,3.88052
-1,42,17.02
0,39,3.88052
0,40,3.88052
0,41,3.88841
0,42,17.02
1,39,3.87263
1,40,4.18297
1,41,3.88052
1,42,17.02
2,39,3.8778900000000003
2,40,3.88052
2,41,4.04884
2,42,17.02
3,39,3.88052
3,40,3.87526
3,41,17.02
4,39,17.02
4,40,17.02
4,41,17.02
5,39,17.02
5,40,17.02
5,41,17.02
6,39,17.02
6,40,17.02
6,41,17.02
7,39,17.02
7,40,17.02
7,41,17.02
8,39,17.02
8,40,17.02
9,39,17.02
9,40,17.02
10,39,17.02
10,40,17.02
11,39,17.02
12,39,17.02
20,35,17.02
19,35,17.02
18,35,3.99887
18,36,17.02
17,35,3.8778900000000003
17,36,17.02
16,35,3.87263
16,36,3.88052
16,37,17.02
15,35,17.02
15,36,17.02
15,37,3.88052
15,38,17.02
14,35,17.02
14,36,17.02
14,37,17.02
14,38,17.02
13,35,17.02
13,36,17.02
13,37,17.02
13,38,4.44334
12,35,17.02
12,36,17.02
12,37,17.02
12,38,17.02
11,35,17.02
11,36,17.02
11,37,17.02
11,38,17.02
10,35,17.02
10,36,17.02
10,37,17.02
10,38,17.02
9,35,17.02
9,36,17.02
9,37,17.02
9,38,17.02
8,35,17.02
8,36,17.02
8,37,17.02
8,38,17.02
7,35,17.02
7,36,17.02
7,37,17.02
7,38,17.02
6,35,17.02
6,36,17.02
6,37,17.02
6,38,17.02
5,35,17.02
5,36,17.02
5,37,17.02
5,38,17.02
4,35,17.02
4,36,17.02
4,37,17.02
4,38,3.8778900000000003
3,35,17.02
3,36,17.02
3,37,17.02
3,38,3.87526
2,35,3.87526
2,36,3.87526
2,37,3.8778900000000003
2,38,3.87526
1,35,3.87526
1,36,3.88052
1,37,3.87263
1,38,3.8778900000000003
0,35,17.02
0,36,3.8778900000000003
0,37,3.87526
0,38,3.8778900000000003
-1,35,3.88315
-1,36,3.8778900000000003
-1,37,17.02
-1,38,3.87526
-2,35,3.88052
-2,36,17.02
-2,37,3.8778900000000003
-2,38,3.88052
-3,35,3.87526
-3,36,3.87263
-3,37,3.88315
-3,38,3.8778900000000003
-4,35,3.8778900000000003
-4,36,3.8778900000000003
-4,37,3.87263
-4,38,3.87263
-5,35,17.02
-5,36,3.8778900000000003
-5,37,3.8778900000000003
-5,38,3.88052
-6,35,17.02
-6,36,3.87263
-6,37,4.22768
-6,38,3.8778900000000003
-7,35,3.87526
-7,36,3.88052
-7,37,6.523669999999999
-7,38,3.88315
-8,35,3.87263
-8,36,3.88052
-8,37,3.87526
-8,38,3.87526
-9,35,3.87263
-9,36,3.8778900000000003
-9,37,3.8778900000000003
-9,38,3.8778900000000003
-10,35,3.87526
-10,36,3.88315
-10,37,4.0278
-10,38,3.88052
-11,35,4.61166
-11,36,3.88315
-11,37,3.87526
-11,38,3.88052
-12,35,3.8778900000000003
-12,36,3.88315
-12,37,3.87263
-12,38,3.8778900000000003
-13,35,3.87263
-13,36,3.88315
-13,37,3.8778900000000003
-13,38,3.87526
-14,35,3.87263
-14,36,3.87263
-14,37,3.8778900000000003
-14,38,3.88052
-15,35,3.87263
-15,36,3.87526
-15,37,3.87526
-15,38,3.87526
-16,35,3.88315
-16,36,3.88315
-16,37,17.02
-16,38,3.87526
-17,35,3.87526
-17,36,17.02
-17,37,3.8778900000000003
-17,38,3.87526
-18,35,3.87526
-18,36,3.87526
-18,37,3.87263
-18,38,17.02
-19,35,3.88052
-19,36,3.8778900000000003
